À½Àý   ÃâÇöÈ½¼ö   ¹éºÐÀ²   ´©Àû¹éºÐÀ²
ÄÂ        787     0.0025    88.5253
ÄÃ       1489     0.0048    88.5301
ÄÄ      10718     0.0343    88.5644
ÄÅ        282     0.0009    88.5653
ÄÆ        582     0.0019    88.5672
ÄÇ        431     0.0014    88.5686
ÄÈ         31     0.0001    88.5687
ÄÉ       5777     0.0185    88.5872
ÄÊ          8     0.0000    88.5872
ÄË        157     0.0005    88.5877
ÄÌ        688     0.0022    88.5899
ÄÍ         27     0.0001    88.5900
ÄÎ          3     0.0000    88.5900
ÄÏ        608     0.0019    88.5919
ÄÐ         12     0.0000    88.5920
ÄÑ       9490     0.0304    88.6224
ÄÒ         50     0.0002    88.6225
ÄÓ         93     0.0003    88.6228
ÄÔ          5     0.0000    88.6228
ÄÕ          1     0.0000    88.6228
ÄÖ         11     0.0000    88.6229
Ä×       2992     0.0096    88.6324
ÄÙ          5     0.0000    88.6325
ÄÚ      14320     0.0458    88.6783
ÄÛ        288     0.0009    88.6792
ÄÜ       3025     0.0097    88.6889
ÄÝ       2811     0.0090    88.6979
ÄÞ        659     0.0021    88.7000
Äß        122     0.0004    88.7004
Äà        190     0.0006    88.7010
Äá       2486     0.0080    88.7090
Äâ         66     0.0002    88.7092
Äã         11     0.0000    88.7092
Ää          7     0.0000    88.7093
Äå         41     0.0001    88.7094
Äç         44     0.0001    88.7095
Äè       1081     0.0035    88.7130
Äé          7     0.0000    88.7130
Äê         14     0.0000    88.7131
Äë         23     0.0001    88.7131
Äì        290     0.0009    88.7141
Äí       2649     0.0085    88.7225
Äî         36     0.0001    88.7226
Äï         36     0.0001    88.7228
Äð        206     0.0007    88.7234
Äñ         14     0.0000    88.7235
Äò          1     0.0000    88.7235
Äó          1     0.0000    88.7235
Äô        183     0.0006    88.7241
Äõ        166     0.0005    88.7246
Äö         66     0.0002    88.7248
Ä÷          5     0.0000    88.7248
Äø          2     0.0000    88.7248
Äù         86     0.0003    88.7251
Äú          5     0.0000    88.7251
Äû        942     0.0030    88.7281
Äü         22     0.0001    88.7282
Äý         43     0.0001    88.7283
Äþ          5     0.0000    88.7284
Å¡          1     0.0000    88.7284
Å£          1     0.0000    88.7284
Å¥        746     0.0024    88.7308
Å§         45     0.0001    88.7309
Å¨          2     0.0000    88.7309
Å©      35717     0.1143    88.8452
Åª          2     0.0000    88.8453
Å«      11337     0.0363    88.8816
Å¬       5068     0.0162    88.8978
Å­       5162     0.0165    88.9143
Å®         27     0.0001    88.9144
Å¯          9     0.0000    88.9144
Å°      26520     0.0849    88.9993
Å±        130     0.0004    88.9997
Å²       5022     0.0161    89.0158
Å³       3853     0.0123    89.0281
Å´        716     0.0023    89.0304
Åµ         28     0.0001    89.0305
Å¶        434     0.0014    89.0319
Å·        716     0.0023    89.0342
Å¸      40966     0.1312    89.1654
Å¹       5816     0.0186    89.1840
Åº      14146     0.0453    89.2293
Å»       9614     0.0308    89.2600
Å¼         68     0.0002    89.2603
Å½       3596     0.0115    89.2718
Å¾       1942     0.0062    89.2780
Å¿       1105     0.0035    89.2815
ÅÀ        155     0.0005    89.2820
ÅÁ       4783     0.0153    89.2973
ÅÂ      40770     0.1305    89.4279
ÅÃ      13209     0.0423    89.4702
ÅÄ        198     0.0006    89.4708
ÅÅ        125     0.0004    89.4712
ÅÆ        111     0.0004    89.4715
ÅÇ         77     0.0002    89.4718
ÅÈ         29     0.0001    89.4719
ÅÊ        761     0.0024    89.4743
ÅË          7     0.0000    89.4743
ÅÍ      58676     0.1878    89.6622
ÅÎ        777     0.0025    89.6647
ÅÏ       4271     0.0137    89.6783
ÅÐ       1503     0.0048    89.6832
ÅÒ         85     0.0003    89.6834
ÅÓ         83     0.0003    89.6837
ÅÔ         96     0.0003    89.6840
ÅÕ         34     0.0001    89.6841
ÅÖ        476     0.0015    89.6856
Å×      10687     0.0342    89.7199
ÅØ       1187     0.0038    89.7237
ÅÙ       1356     0.0043    89.7280
ÅÚ       2948     0.0094    89.7374
ÅÛ      17041     0.0546    89.7920
ÅÜ        213     0.0007    89.7927
ÅÝ          9     0.0000    89.7927
ÅÞ          3     0.0000    89.7927
Åß         60     0.0002    89.7929
Åà          3     0.0000    89.7929
Åá          3     0.0000    89.7929
Åâ          1     0.0000    89.7929
Åã         43     0.0001    89.7931
Åä      27900     0.0893    89.8824
Åå        316     0.0010    89.8834
Åæ       2046     0.0066    89.8899
Åç        932     0.0030    89.8929
Åè        100     0.0003    89.8932
Åé       2347     0.0075    89.9008
Åê         14     0.0000    89.9008
Åë      83984     0.2689    90.1697
Åì          1     0.0000    90.1697
Åí          1     0.0000    90.1697
Åï          2     0.0000    90.1697
Åð       5837     0.0187    90.1884
Åò          7     0.0000    90.1884
Åô          8     0.0000    90.1884
Åõ      20080     0.0643    90.2527
Åö        149     0.0005    90.2532
Å÷         92     0.0003    90.2535
Åø        327     0.0010    90.2545
Åù        331     0.0011    90.2556
Åû          1     0.0000    90.2556
Åü        270     0.0009    90.2565
Åý         29     0.0001    90.2565
Åþ          1     0.0000    90.2565
Æ¡          2     0.0000    90.2566
Æ¢        619     0.0020    90.2585
Æ¤          3     0.0000    90.2585
Æ¥         18     0.0001    90.2586
Æ¨         70     0.0002    90.2588
Æ©        353     0.0011    90.2600
Æ«         26     0.0001    90.2600
Æ¬        135     0.0004    90.2605
Æ­          1     0.0000    90.2605
Æ®      42309     0.1354    90.3959
Æ¯      36356     0.1164    90.5123
Æ°       1713     0.0055    90.5178
Æ±        141     0.0005    90.5183
Æ²       6027     0.0193    90.5375
Æ³         25     0.0001    90.5376
Æ´        935     0.0030    90.5406
Æµ          1     0.0000    90.5406
Æ¶         18     0.0001    90.5407
Æ·         45     0.0001    90.5408
Æ¸          1     0.0000    90.5408
Æ¼       8140     0.0261    90.5669
Æ½        964     0.0031    90.5700
Æ¾        794     0.0025    90.5725
Æ¿       1285     0.0041    90.5766
ÆÀ       4865     0.0156    90.5922
ÆÁ         84     0.0003    90.5925
ÆÃ       1598     0.0051    90.5976
ÆÄ      39471     0.1264    90.7240
ÆÅ        223     0.0007    90.7247
ÆÆ        615     0.0020    90.7266
ÆÇ      26695     0.0855    90.8121
ÆÈ       5742     0.0184    90.8305
ÆÉ          2     0.0000    90.8305
ÆÊ        128     0.0004    90.8309
ÆË         93     0.0003    90.8312
ÆÌ          4     0.0000    90.8312
ÆÍ         59     0.0002    90.8314
ÆÎ        530     0.0017    90.8331
ÆÏ        226     0.0007    90.8338
ÆÐ       8430     0.0270    90.8608
ÆÑ       1099     0.0035    90.8643
ÆÒ        353     0.0011    90.8655
ÆÓ         10     0.0000    90.8655
ÆÔ          8     0.0000    90.8655
ÆÕ          3     0.0000    90.8655
ÆÖ         36     0.0001    90.8656
Æ×          4     0.0000    90.8656
ÆØ       1555     0.0050    90.8706
ÆÙ          6     0.0000    90.8706
ÆÚ          1     0.0000    90.8707
ÆÛ       5423     0.0174    90.8880
ÆÜ        194     0.0006    90.8886
ÆÝ        200     0.0006    90.8893
ÆÞ        844     0.0027    90.8920
Æß        647     0.0021    90.8940
Æá          2     0.0000    90.8941
Æâ         28     0.0001    90.8941
Æã         88     0.0003    90.8944
Æä       7777     0.0249    90.9193
Æå        692     0.0022    90.9215
Ææ        902     0.0029    90.9244
Æç        352     0.0011    90.9256
Æè         14     0.0000    90.9256
Æé        175     0.0006    90.9262
Æê         59     0.0002    90.9263
Æë         45     0.0001    90.9265
Æì       3071     0.0098    90.9363
Æí      23161     0.0741    91.0105
Æî        953     0.0031    91.0135
Æï         29     0.0001    91.0136
Æð          1     0.0000    91.0136
Æñ        179     0.0006    91.0142
Æò      31562     0.1010    91.1152
Æó       8423     0.0270    91.1422
Æ÷      36505     0.1169    91.2591
Æø      13022     0.0417    91.3008
Æù        950     0.0030    91.3038
Æú       2828     0.0091    91.3129
Æû        252     0.0008    91.3137
Æý         34     0.0001    91.3138
Æþ        117     0.0004    91.3141
Ç¡          1     0.0000    91.3141
Ç£          1     0.0000    91.3141
Ç¤         14     0.0000    91.3142
Ç¥      45095     0.1444    91.4586
Ç¦          1     0.0000    91.4586
Ç©         24     0.0001    91.4586
Çª       2181     0.0070    91.4656
Ç«        114     0.0004    91.4660
Ç¬        656     0.0021    91.4681
Ç®       6506     0.0208    91.4889
Ç¯          8     0.0000    91.4889
Ç°      31172     0.0998    91.5887
Ç²        237     0.0008    91.5895
Ç³       9596     0.0307    91.6202
Ç´          2     0.0000    91.6202
Çµ          1     0.0000    91.6202
Ç¶         17     0.0001    91.6203
Ç·          7     0.0000    91.6203
Ç»       9668     0.0310    91.6513
Ç½         76     0.0002    91.6515
Ç¾          4     0.0000    91.6515
ÇÀ          2     0.0000    91.6515
ÇÁ      34481     0.1104    91.7619
ÇÂ        783     0.0025    91.7644
ÇÃ       5762     0.0184    91.7829
ÇÄ        706     0.0023    91.7851
ÇÅ         15     0.0000    91.7852
ÇÇ      24041     0.0770    91.8621
ÇÈ       4301     0.0138    91.8759
ÇÉ       1883     0.0060    91.8819
ÇÊ      21954     0.0703    91.9522
ÇË         38     0.0001    91.9523
ÇÌ        464     0.0015    91.9538
ÇÍ        430     0.0014    91.9552
ÇÎ       1689     0.0054    91.9606
ÇÏ     522169     1.6717    93.6323
ÇÐ     120517     0.3858    94.0181
ÇÑ     470453     1.5061    95.5243
ÇÒ      85680     0.2743    95.7986
ÇÓ         75     0.0002    95.7988
ÇÔ      33578     0.1075    95.9063
ÇÕ      63959     0.2048    96.1111
ÇÖ        606     0.0019    96.1130
Ç×      22624     0.0724    96.1854
ÇØ     205921     0.6592    96.8447
ÇÙ      10742     0.0344    96.8791
ÇÚ        394     0.0013    96.8803
ÇÛ         29     0.0001    96.8804
ÇÜ        186     0.0006    96.8810
ÇÝ         17     0.0001    96.8811
ÇÞ        722     0.0023    96.8834
Çß      64453     0.2063    97.0897
Çà      60686     0.1943    97.2840
Çá         35     0.0001    97.2841
Çâ      30772     0.0985    97.3826
Çã      10625     0.0340    97.4166
Çä         32     0.0001    97.4167
Çå       7849     0.0251    97.4419
Çæ        528     0.0017    97.4436
Çè      25834     0.0827    97.5263
Çé         26     0.0001    97.5264
Çê        333     0.0011    97.5274
Çë        466     0.0015    97.5289
Çì       3057     0.0098    97.5387
Çí        112     0.0004    97.5391
Çî        430     0.0014    97.5404
Çï        685     0.0022    97.5426
Çð         39     0.0001    97.5428
Çñ         41     0.0001    97.5429
Çò         42     0.0001    97.5430
Çó         26     0.0001    97.5431
Çô       8460     0.0271    97.5702
Çõ      10201     0.0327    97.6028
Çö      54765     0.1753    97.7782
Ç÷       4587     0.0147    97.7929
Çø       2213     0.0071    97.7999
Çù      19327     0.0619    97.8618
Çú         59     0.0002    97.8620
Çû       4904     0.0157    97.8777
Çü      52341     0.1676    98.0453
Çý       3161     0.0101    98.0554
È£      41396     0.1325    98.1879
È¤       4961     0.0159    98.2038
È¥       8724     0.0279    98.2317
È¦       1840     0.0059    98.2376
È¨        285     0.0009    98.2385
È©        340     0.0011    98.2396
Èª         33     0.0001    98.2397
È«       8207     0.0263    98.2660
È¬         97     0.0003    98.2663
È­     144438     0.4624    98.7287
È®      28515     0.0913    98.8200
È¯      32362     0.1036    98.9236
È°      27752     0.0888    99.0125
È±         33     0.0001    99.0126
È²      16861     0.0540    99.0665
È³         12     0.0000    99.0666
È´          2     0.0000    99.0666
È¶         57     0.0002    99.0668
È¸     100130     0.3206    99.3873
È¹      12816     0.0410    99.4284
Èº          6     0.0000    99.4284
È»          2     0.0000    99.4284
È½        272     0.0009    99.4293
È¾       1347     0.0043    99.4336
È¿      21228     0.0680    99.5015
ÈÄ      36817     0.1179    99.6194
ÈÅ         27     0.0001    99.6195
ÈÆ       6695     0.0214    99.6409
ÈÇ        969     0.0031    99.6440
ÈÈ        136     0.0004    99.6445
ÈÉ        347     0.0011    99.6456
ÈÊ        124     0.0004    99.6460
ÈË          5     0.0000    99.6460
ÈÌ         14     0.0000    99.6460
ÈÍ         95     0.0003    99.6463
ÈÎ       1290     0.0041    99.6505
ÈÏ          2     0.0000    99.6505
ÈÑ        882     0.0028    99.6533
ÈÒ          3     0.0000    99.6533
ÈÓ          7     0.0000    99.6533
ÈÔ          4     0.0000    99.6533
ÈÕ          5     0.0000    99.6533
ÈÖ       3931     0.0126    99.6659
È×         44     0.0001    99.6661
ÈØ         46     0.0001    99.6662
ÈÙ        138     0.0004    99.6667
ÈÚ        130     0.0004    99.6671
ÈÛ        411     0.0013    99.6684
ÈÜ         13     0.0000    99.6684
ÈÞ       4165     0.0133    99.6818
Èà          1     0.0000    99.6818
Èá         34     0.0001    99.6819
Èâ         28     0.0001    99.6820
Èä       1279     0.0041    99.6861
Èå       4622     0.0148    99.7009
Èæ       2582     0.0083    99.7091
Èç       3358     0.0108    99.7199
Èé         10     0.0000    99.7199
Èê       2837     0.0091    99.7290
Èë       1167     0.0037    99.7327
Èì        492     0.0016    99.7343
Èí       4795     0.0154    99.7497
Èï       5271     0.0169    99.7665
Èð        386     0.0012    99.7678
Èñ      11479     0.0367    99.8045
Èò       1421     0.0045    99.8091
Èó          4     0.0000    99.8091
Èô          1     0.0000    99.8091
Èõ          3     0.0000    99.8091
È÷      47948     0.1535    99.9626
Èø         29     0.0001    99.9627
Èù       2820     0.0090    99.9717
Èú        951     0.0030    99.9748
Èû       7838     0.0251    99.9999
Èü         39     0.0001   100.0000
Èý          5     0.0000   100.0000
Èþ          2     0.0000   100.0000
=====================================
À½Àý °³¼ö = 2026, ÃÑ À½Àý¼ö = 31235937
